   MONTH           CSR_RL06             GFZ_RL06           GSFC_rl06v2.0          JPL_RL06       
004 Apr2002   2002_095--2002_120   2002_095--2002_120   2002_095--2002_120   2002_094--2002_120
005 May2002   2002_123--2002_137   2002_122--2002_137   2002_123--2002_137   2002_122--2002_138
006 Jun2002     ** missing **        ** missing **        ** missing **        ** missing **   
007 Jul2002     ** missing **        ** missing **        ** missing **        ** missing **   
008 Aug2002   2002_213--2002_243   2002_213--2002_243   2002_213--2002_243   2002_213--2002_243
009 Sep2002   2002_244--2002_273   2002_244--2002_273   2002_244--2002_273   2002_244--2002_273
010 Oct2002   2002_274--2002_304   2002_274--2002_304   2002_274--2002_304   2002_274--2002_304
011 Nov2002   2002_305--2002_334   2002_305--2002_334   2002_305--2002_334   2002_305--2002_334
012 Dec2002   2002_335--2002_365   2002_335--2002_365   2002_335--2003_000   2002_335--2002_365
013 Jan2003   2003_001--2003_031   2003_001--2003_031   2003_001--2003_031   2003_001--2003_031
014 Feb2003   2003_032--2003_059   2003_032--2003_059   2003_032--2003_059   2003_032--2003_059
015 Mar2003   2003_060--2003_090   2003_060--2003_090   2003_060--2003_090   2003_060--2003_090
016 Apr2003   2003_091--2003_120   2003_091--2003_120   2003_091--2003_120   2003_091--2003_120
017 May2003   2003_121--2003_141   2003_121--2003_141   2003_121--2003_141   2003_121--2003_141
018 Jun2003     ** missing **        ** missing **        ** missing **        ** missing **   
019 Jul2003   2003_182--2003_212   2003_182--2003_212   2003_182--2003_212   2003_182--2003_212
020 Aug2003   2003_213--2003_243   2003_213--2003_243   2003_213--2003_243   2003_213--2003_243
021 Sep2003   2003_244--2003_273   2003_244--2003_273   2003_244--2003_273   2003_244--2003_273
022 Oct2003   2003_274--2003_304   2003_274--2003_304   2003_274--2003_304   2003_274--2003_303
023 Nov2003   2003_305--2003_334   2003_305--2003_334   2003_305--2003_334   2003_305--2003_334
024 Dec2003   2003_335--2003_365   2003_335--2003_365   2003_335--2004_000   2003_335--2003_365
025 Jan2004   2004_001--2004_013   2004_001--2004_013   2004_001--2004_013   2004_001--2004_013
026 Feb2004   2004_035--2004_060   2004_035--2004_060   2004_035--2004_060   2004_035--2004_060
027 Mar2004   2004_061--2004_091   2004_061--2004_091   2004_061--2004_091   2004_061--2004_091
028 Apr2004   2004_092--2004_121   2004_092--2004_121   2004_092--2004_121   2004_092--2004_121
029 May2004   2004_122--2004_152   2004_122--2004_152   2004_122--2004_152   2004_122--2004_152
030 Jun2004   2004_153--2004_182   2004_153--2004_182   2004_153--2004_182   2004_153--2004_182
031 Jul2004   2004_183--2004_213   2004_183--2004_213   2004_183--2004_213   2004_183--2004_213
032 Aug2004   2004_214--2004_244   2004_214--2004_244   2004_214--2004_244   2004_214--2004_244
033 Sep2004   2004_245--2004_274   2004_245--2004_274   2004_245--2004_274   2004_245--2004_274
034 Oct2004   2004_275--2004_305   2004_275--2004_305   2004_275--2004_305   2004_275--2004_305
035 Nov2004   2004_306--2004_335   2004_306--2004_335   2004_306--2004_335   2004_306--2004_335
036 Dec2004   2004_336--2004_366   2004_336--2004_366   2004_336--2005_000   2004_336--2004_366
037 Jan2005   2005_001--2005_031   2005_001--2005_031   2005_001--2005_031   2005_001--2005_031
038 Feb2005   2005_032--2005_059   2005_032--2005_059   2005_032--2005_059   2005_032--2005_059
039 Mar2005   2005_060--2005_090   2005_061--2005_090   2005_060--2005_090   2005_060--2005_090
040 Apr2005   2005_091--2005_120   2005_091--2005_120   2005_091--2005_120   2005_091--2005_120
041 May2005   2005_121--2005_151   2005_121--2005_151   2005_121--2005_151   2005_121--2005_151
042 Jun2005   2005_152--2005_181   2005_152--2005_181   2005_152--2005_181   2005_152--2005_181
043 Jul2005   2005_182--2005_212   2005_182--2005_212   2005_182--2005_212   2005_182--2005_212
044 Aug2005   2005_213--2005_243   2005_213--2005_243   2005_213--2005_243   2005_213--2005_243
045 Sep2005   2005_244--2005_273   2005_244--2005_273   2005_244--2005_273   2005_244--2005_273
046 Oct2005   2005_274--2005_304   2005_274--2005_304   2005_274--2005_304   2005_274--2005_304
047 Nov2005   2005_305--2005_334   2005_305--2005_334   2005_305--2005_334   2005_305--2005_334
048 Dec2005   2005_335--2005_365   2005_335--2005_365   2005_335--2006_000   2005_335--2005_365
049 Jan2006   2006_001--2006_031   2006_001--2006_031   2006_001--2006_031   2006_001--2006_031
050 Feb2006   2006_032--2006_059   2006_032--2006_059   2006_032--2006_059   2006_032--2006_059
051 Mar2006   2006_060--2006_090   2006_060--2006_090   2006_060--2006_090   2006_060--2006_090
052 Apr2006   2006_091--2006_120   2006_091--2006_120   2006_091--2006_120   2006_091--2006_120
053 May2006   2006_121--2006_151   2006_121--2006_151   2006_121--2006_151   2006_121--2006_151
054 Jun2006   2006_152--2006_181   2006_152--2006_181   2006_152--2006_181   2006_152--2006_181
055 Jul2006   2006_182--2006_212   2006_182--2006_212   2006_182--2006_212   2006_182--2006_212
056 Aug2006   2006_213--2006_243   2006_213--2006_243   2006_213--2006_243   2006_213--2006_243
057 Sep2006   2006_244--2006_273   2006_244--2006_273   2006_244--2006_273   2006_244--2006_273
058 Oct2006   2006_274--2006_304   2006_274--2006_304   2006_274--2006_304   2006_274--2006_304
