cycle,start,end
1,2018-10-13,2018-12-28
2,2018-12-28,2019-03-29
3,2019-03-29,2019-06-28
4,2019-07-09,2019-09-26
5,2019-09-26,2019-12-26
6,2019-12-26,2020-03-26
7,2020-03-26,2020-06-25
8,2020-06-25,2020-09-24
9,2020-09-24,2020-12-23
10,2020-12-24,2021-03-24
11,2021-03-24,2021-06-23
12,2021-06-23,2021-09-22
13,2021-09-22,2021-12-22
14,2021-12-22,2022-03-23
15,2022-03-23,2022-06-21
16,2022-06-21,2022-09-20
17,2022-09-20,2022-12-20
18,2022-12-20,2023-03-21
19,2023-03-21,2023-06-20
20,2023-06-20,2023-09-19
21,2023-09-19,2023-12-18
22,2023-12-18,2024-03-18
23,2024-03-18,2024-06-17
24,2024-06-17,2024-09-16
25,2024-09-16,2024-12-16
26,2024-12-16,2025-03-16
27,2025-03-16,2025-06-15
28,2025-06-15,2025-09-14
29,2025-09-14,2025-12-14
30,2025-12-14,2026-03-15
